Node #29
< destination, cost, nexthop > 
<7, 181, 7>
<23, 163, 23>
<24, 306, 24>
<11, 104, 11>
<15, 230, 23>
<8, 282, 23>
<16, 361, 7>
<21, 443, 23>
<9, 377, 7>
<27, 607, 23>
<22, 339, 23>
<6, 384, 7>
<4, 924, 23>
<28, 476, 23>
<17, 391, 23>
<2, 608, 23>
<1, 880, 23>
<19, 588, 7>
<26, 425, 7>
<13, 1116, 7>
<3, 819, 23>
<25, 1185, 23>
<10, 383, 23>
<0, 934, 7>
<14, 624, 7>
<5, 774, 7>
<18, 1374, 7>
<12, 795, 7>
<20, 680, 7>
size: 29
Neighbors: <7, 23, 24, 11, >

Node #28
< destination, cost, nexthop > 
<6, 535, 6>
<1, 498, 1>
<15, 246, 15>
<23, 313, 15>
<16, 558, 6>
<22, 489, 15>
<21, 593, 15>
<4, 545, 1>
<14, 775, 6>
<3, 969, 15>
<5, 925, 6>
<12, 763, 1>
<25, 1052, 1>
<10, 533, 15>
<8, 432, 15>
<29, 476, 15>
<24, 542, 15>
<7, 657, 15>
<9, 574, 6>
<19, 785, 6>
<26, 622, 6>
<13, 1313, 6>
<27, 757, 15>
<17, 541, 15>
<2, 758, 15>
<0, 1131, 6>
<18, 1565, 1>
<11, 580, 15>
<20, 877, 6>
size: 29
Neighbors: <6, 1, 15, >

Node #27
< destination, cost, nexthop > 
<22, 268, 22>
<7, 788, 22>
<25, 578, 25>
<16, 762, 22>
<8, 325, 22>
<9, 746, 22>
<29, 607, 22>
<11, 711, 22>
<15, 511, 22>
<1, 809, 22>
<17, 434, 22>
<2, 537, 22>
<10, 312, 22>
<0, 1185, 22>
<23, 444, 22>
<6, 785, 22>
<19, 989, 22>
<26, 826, 22>
<13, 1517, 22>
<24, 673, 22>
<21, 724, 22>
<4, 856, 22>
<28, 757, 22>
<14, 610, 22>
<12, 1074, 22>
<5, 1175, 22>
<20, 1081, 22>
<3, 1100, 22>
<18, 1775, 22>
size: 29
Neighbors: <22, 7, 25, >

Node #26
< destination, cost, nexthop > 
<4, 682, 12>
<16, 64, 16>
<12, 370, 12>
<20, 255, 20>
<23, 588, 16>
<15, 655, 16>
<7, 244, 16>
<9, 80, 16>
<6, 87, 16>
<1, 635, 12>
<19, 291, 16>
<13, 819, 16>
<18, 1077, 16>
<0, 509, 20>
<8, 501, 16>
<21, 868, 16>
<29, 425, 16>
<24, 731, 16>
<22, 558, 16>
<28, 622, 16>
<11, 529, 16>
<27, 826, 16>
<17, 392, 16>
<14, 327, 16>
<3, 773, 16>
<5, 477, 16>
<25, 1189, 12>
<10, 602, 16>
<2, 400, 16>
size: 29
Neighbors: <4, 16, 12, 20, >

Node #25
< destination, cost, nexthop > 
<27, 578, 27>
<1, 554, 1>
<16, 1253, 1>
<22, 846, 27>
<14, 1188, 27>
<4, 601, 1>
<12, 819, 1>
<28, 1052, 1>
<10, 890, 27>
<7, 1366, 27>
<23, 1022, 27>
<15, 1089, 27>
<9, 1269, 1>
<6, 1276, 1>
<19, 1480, 1>
<26, 1189, 1>
<13, 2008, 1>
<8, 903, 27>
<17, 1012, 27>
<2, 1115, 27>
<0, 1698, 1>
<18, 1621, 1>
<29, 1185, 27>
<11, 1289, 27>
<21, 1302, 27>
<24, 1251, 27>
<3, 1678, 27>
<5, 1666, 1>
<20, 1444, 1>
size: 29
Neighbors: <27, 1, >

Node #24
< destination, cost, nexthop > 
<23, 229, 23>
<29, 306, 29>
<15, 296, 23>
<8, 348, 23>
<16, 667, 29>
<21, 509, 23>
<7, 487, 29>
<11, 410, 29>
<22, 405, 23>
<6, 690, 29>
<4, 990, 23>
<28, 542, 23>
<17, 457, 23>
<2, 674, 23>
<9, 683, 29>
<1, 946, 23>
<19, 894, 29>
<26, 731, 29>
<13, 1422, 29>
<3, 885, 23>
<27, 673, 23>
<10, 449, 23>
<0, 1240, 29>
<14, 747, 23>
<5, 1080, 29>
<18, 1680, 29>
<12, 1101, 29>
<25, 1251, 23>
<20, 986, 29>
size: 29
Neighbors: <23, 29, >

Node #23
< destination, cost, nexthop > 
<15, 67, 15>
<8, 119, 8>
<16, 524, 29>
<21, 280, 21>
<29, 163, 29>
<24, 229, 24>
<22, 176, 8>
<6, 547, 16>
<4, 761, 15>
<28, 313, 15>
<7, 344, 29>
<17, 228, 8>
<2, 445, 8>
<9, 540, 8>
<1, 717, 8>
<19, 751, 16>
<26, 588, 16>
<13, 1279, 16>
<3, 656, 21>
<11, 267, 29>
<27, 444, 8>
<10, 220, 8>
<0, 1093, 8>
<14, 518, 8>
<5, 937, 16>
<18, 1537, 16>
<12, 958, 16>
<25, 1022, 8>
<20, 843, 16>
size: 29
Neighbors: <15, 8, 16, 21, 29, 24, >

Node #22
< destination, cost, nexthop > 
<8, 57, 8>
<15, 243, 8>
<1, 541, 10>
<27, 268, 27>
<17, 166, 8>
<2, 269, 2>
<10, 44, 10>
<0, 917, 0>
<23, 176, 8>
<16, 494, 17>
<21, 456, 8>
<6, 517, 17>
<4, 588, 1>
<28, 489, 15>
<7, 520, 8>
<14, 342, 2>
<12, 806, 1>
<25, 846, 27>
<9, 478, 17>
<13, 1249, 17>
<5, 907, 17>
<20, 813, 17>
<29, 339, 8>
<24, 405, 8>
<19, 721, 17>
<26, 558, 17>
<3, 832, 8>
<18, 1507, 17>
<11, 443, 8>
size: 29
Neighbors: <8, 15, 1, 27, 17, 2, 10, 0, >

Node #21
< destination, cost, nexthop > 
<15, 347, 23>
<23, 280, 23>
<3, 376, 3>
<8, 399, 23>
<16, 804, 23>
<29, 443, 23>
<24, 509, 23>
<22, 456, 23>
<6, 827, 23>
<4, 1041, 15>
<28, 593, 15>
<7, 624, 23>
<17, 508, 23>
<2, 725, 23>
<9, 820, 23>
<1, 997, 23>
<19, 1031, 23>
<26, 868, 23>
<13, 1559, 23>
<11, 547, 23>
<27, 724, 23>
<10, 500, 23>
<0, 1373, 23>
<14, 798, 23>
<5, 1217, 23>
<18, 1817, 23>
<12, 1238, 23>
<25, 1302, 23>
<20, 1123, 23>
size: 29
Neighbors: <15, 23, 3, >

Node #20
< destination, cost, nexthop > 
<13, 1001, 13>
<26, 255, 26>
<0, 254, 0>
<4, 937, 26>
<16, 319, 26>
<12, 625, 26>
<2, 655, 26>
<22, 813, 26>
<23, 843, 26>
<15, 910, 26>
<7, 499, 26>
<9, 335, 26>
<6, 342, 26>
<1, 890, 26>
<19, 546, 26>
<18, 1332, 26>
<14, 582, 26>
<5, 732, 26>
<8, 756, 26>
<27, 1081, 26>
<17, 647, 26>
<10, 857, 26>
<21, 1123, 26>
<29, 680, 26>
<24, 986, 26>
<28, 877, 26>
<11, 784, 26>
<3, 1028, 26>
<25, 1444, 26>
size: 29
Neighbors: <13, 26, 0, >

Node #19
< destination, cost, nexthop > 
<16, 227, 16>
<9, 243, 16>
<18, 786, 18>
<23, 751, 16>
<15, 818, 16>
<7, 407, 16>
<6, 250, 16>
<1, 926, 16>
<26, 291, 16>
<13, 982, 16>
<17, 555, 9>
<4, 973, 16>
<8, 664, 9>
<21, 1031, 16>
<29, 588, 16>
<24, 894, 16>
<22, 721, 9>
<28, 785, 16>
<11, 692, 16>
<27, 989, 9>
<14, 490, 16>
<3, 936, 16>
<5, 640, 16>
<12, 661, 16>
<25, 1480, 16>
<10, 765, 9>
<20, 546, 16>
<2, 563, 16>
<0, 800, 16>
size: 29
Neighbors: <16, 9, 18, >

Node #18
< destination, cost, nexthop > 
<4, 1020, 4>
<19, 786, 19>
<1, 1067, 4>
<6, 1036, 19>
<26, 1077, 19>
<15, 1604, 19>
<16, 1013, 19>
<9, 1029, 19>
<23, 1537, 19>
<22, 1507, 19>
<21, 1817, 19>
<28, 1565, 4>
<14, 1276, 19>
<3, 1722, 19>
<5, 1426, 19>
<12, 1332, 4>
<25, 1621, 4>
<10, 1551, 19>
<20, 1332, 19>
<7, 1193, 19>
<13, 1768, 19>
<17, 1341, 19>
<8, 1450, 19>
<29, 1374, 19>
<24, 1680, 19>
<27, 1775, 19>
<2, 1349, 19>
<0, 1586, 19>
<11, 1478, 19>
size: 29
Neighbors: <4, 19, >

Node #17
< destination, cost, nexthop > 
<9, 312, 9>
<22, 166, 8>
<8, 109, 8>
<23, 228, 8>
<7, 508, 9>
<2, 435, 22>
<15, 295, 8>
<1, 707, 22>
<27, 434, 22>
<10, 210, 22>
<0, 901, 9>
<16, 328, 9>
<19, 555, 9>
<21, 508, 8>
<29, 391, 8>
<24, 457, 8>
<11, 495, 8>
<14, 508, 8>
<13, 1083, 9>
<5, 741, 9>
<6, 351, 9>
<4, 754, 22>
<28, 541, 8>
<12, 762, 9>
<25, 1012, 22>
<20, 647, 9>
<26, 392, 9>
<18, 1341, 9>
<3, 884, 8>
size: 29
Neighbors: <9, 22, 8, >

Node #16
< destination, cost, nexthop > 
<23, 524, 7>
<15, 591, 23>
<7, 180, 7>
<9, 16, 9>
<6, 23, 6>
<1, 699, 26>
<19, 227, 19>
<26, 64, 26>
<13, 755, 13>
<8, 437, 9>
<21, 804, 23>
<29, 361, 7>
<24, 667, 7>
<22, 494, 9>
<4, 746, 1>
<28, 558, 6>
<11, 465, 7>
<27, 762, 9>
<17, 328, 9>
<14, 263, 6>
<3, 709, 6>
<5, 413, 6>
<12, 434, 26>
<25, 1253, 1>
<10, 538, 9>
<18, 1013, 19>
<20, 319, 26>
<2, 336, 6>
<0, 573, 26>
size: 29
Neighbors: <23, 15, 7, 9, 6, 1, 19, 26, 13, >

Node #15
< destination, cost, nexthop > 
<23, 67, 23>
<16, 591, 23>
<22, 243, 23>
<21, 347, 23>
<6, 614, 16>
<4, 694, 4>
<28, 246, 28>
<8, 186, 23>
<29, 230, 23>
<24, 296, 23>
<7, 411, 23>
<9, 607, 23>
<1, 741, 4>
<19, 818, 16>
<26, 655, 16>
<13, 1346, 16>
<27, 511, 22>
<17, 295, 23>
<2, 512, 22>
<10, 287, 22>
<0, 1160, 22>
<3, 723, 21>
